,Algtype,2_discrepancy_obtained,2_NumExamples,20_discrepancy_obtained,20_NumExamples,40_discrepancy_obtained,40_NumExamples,60_discrepancy_obtained,60_NumExamples,80_discrepancy_obtained,80_NumExamples,100_discrepancy_obtained,100_NumExamples,120_discrepancy_obtained,120_NumExamples,140_discrepancy_obtained,140_NumExamples,160_discrepancy_obtained,160_NumExamples,180_discrepancy_obtained,180_NumExamples,200_discrepancy_obtained,200_NumExamples,220_discrepancy_obtained,220_NumExamples,240_discrepancy_obtained,240_NumExamples,260_discrepancy_obtained,260_NumExamples,280_discrepancy_obtained,280_NumExamples,300_discrepancy_obtained,300_NumExamples,320_discrepancy_obtained,320_NumExamples,340_discrepancy_obtained,340_NumExamples,360_discrepancy_obtained,360_NumExamples,380_discrepancy_obtained,380_NumExamples,400_discrepancy_obtained,400_NumExamples
0,AWP,0.5771196027435558,0,0.5094227235202041,2223,0.4655677002261885,4486,0.4160385840481522,6902,0.3631586230340431,9523,0.3275617433769046,11367,0.3003205401684245,12806,0.27138365960056143,14225,0.2435761951602712,15755,0.2138420153574193,17311,0.1954118177402913,18346,0.17986160602086962,19189,0.16312878577563875,20099,0.14761319376946366,20964,0.12910566972793786,21994,0.11801850188985588,22537,0.10667749983946348,23167,0.0960861516470103,23696,0.08598475884416376,24185,0.07532287160220519,24752,0.06904617938533819,25089
1,EMPIRICAL,0.5771196027435558,0,0.5094034453969432,2223,0.4669072406684122,4486,0.41857856810881294,6902,0.3679471565698965,9523,0.33360985278712274,11367,0.30498639949659323,12806,0.2809784352750711,14225,0.25307892950213723,15755,0.2238637956848004,17311,0.20269290644191104,18346,0.18796349539831056,19189,0.17049788881031405,20099,0.1531426304204353,20964,0.13719416111904534,21994,0.1258293310381676,22537,0.1110813538477885,23167,0.10118501214458356,23696,0.09749881806243206,24185,0.08412116787754627,24752,0.07903869338565463,25089
2,UNIFORM,0.5771196027435558,0,0.5104287667820298,2223,0.4650554103112058,4486,0.4186585746870989,6902,0.3720509589620905,9523,0.3332880107398473,11367,0.306604459430178,12806,0.28163226688545473,14225,0.25399532924678114,15755,0.2240294148010211,17311,0.2001820601919591,18346,0.18911203294348808,19189,0.16931258309655756,20099,0.1542862766544274,20964,0.13711259778589655,21994,0.12573834397848696,22537,0.11586013678075455,23167,0.1022827942486234,23696,0.09119657071835904,24185,0.08928677695350301,24752,0.07733972902680826,25089
3,WEIGHT,0.5771196027435558,0,0.5080366843430855,2223,0.4661540323998179,4486,0.42182305510821694,6902,0.3748035385165939,9523,0.33354489519345404,11367,0.30755627471675245,12806,0.2781579364278369,14225,0.24915547974331897,15755,0.2188757881091996,17311,0.2008422464167683,18346,0.1855037996428592,19189,0.16991804349786566,20099,0.15222155683572072,20964,0.134330279394089,21994,0.1208595531781774,22537,0.1107947219430757,23167,0.10277994702467924,23696,0.09439844670777524,24185,0.08477865544003649,24752,0.07641987727433497,25089
4,AWP,0.5771196027435558,0,0.5082884731662998,2242,0.4646198806876454,4518,0.4156359015041636,6930,0.3665491743763496,9446,0.33059560558509665,11144,0.2968488446690766,12927,0.2719156521971248,14342,0.2391545689533274,16082,0.2155279928479875,17377,0.19568909776152865,18388,0.1750473377319553,19464,0.16002151496230768,20248,0.14567458968810965,21013,0.12708465330705285,21987,0.11729144606698967,22555,0.10358610883179313,23232,0.09189012751382912,23902,0.08221258370954204,24363,0.07872896671986175,24544,0.07232035306402086,24875
5,EMPIRICAL,0.5771196027435558,0,0.5077275394889196,2242,0.4644765563103533,4518,0.4183092261989723,6930,0.3685762010969856,9446,0.3383234529561048,11144,0.3019983480129751,12927,0.2718536748794652,14342,0.2417647220750346,16082,0.2206900943929216,17377,0.20260301993202656,18388,0.1809813564009362,19464,0.16625965501636633,20248,0.15370645514110234,21013,0.13929267980623689,21987,0.12533414774117224,22555,0.11283879229683305,23232,0.10441314203161044,23902,0.09376571430430396,24363,0.0904482850991646,24544,0.08090822770991718,24875
6,UNIFORM,0.5771196027435558,0,0.5075207323871062,2242,0.4644289055124781,4518,0.4184295619288916,6930,0.3679373891045714,9446,0.33773382071001595,11144,0.30154896789103125,12927,0.27572359416304937,14342,0.24694729234167986,16082,0.2225262929871356,17377,0.2026806001325724,18388,0.17845956774983446,19464,0.17023312054548104,20248,0.15193723054975752,21013,0.13746251276410168,21987,0.122651842038394,22555,0.11130892176151032,23232,0.10195127975661962,23902,0.0928622171355394,24363,0.08771849717945418,24544,0.07987602212098847,24875
7,WEIGHT,0.5771196027435558,0,0.5091237547117676,2242,0.4628052097339868,4518,0.41500113540212,6930,0.3720272339992136,9446,0.3415090316333325,11144,0.3051811679618241,12927,0.2780155961230221,14342,0.2429643599683486,16082,0.22279616339087485,17377,0.2004018722218718,18388,0.18467020415236884,19464,0.16637415659380053,20248,0.15484533370708886,21013,0.1315811239718896,21987,0.12322872773909604,22555,0.11221896106899276,23232,0.09857965324268483,23902,0.0882881067136352,24363,0.08883087827171098,24544,0.08265166640277644,24875
8,AWP,0.5771196027435558,0,0.5006690117816649,2619,0.4586917593045642,4703,0.4107226301409198,7115,0.3630060078952792,9414,0.3256250164402239,11194,0.2950940836350706,12761,0.2598829457703416,14679,0.2340085423790917,16057,0.207393161645424,17446,0.18750108736707266,18441,0.16343861476723365,19736,0.15200258534985114,20397,0.13802351626642084,21139,0.12030831561910922,22078,0.10601702140088007,22851,0.0969132209538784,23364,0.0835273535147334,24125,0.07364038689523553,24645,0.06579224418386645,25073,0.06242301844935162,25287
9,EMPIRICAL,0.5771196027435558,0,0.5031975745113383,2619,0.4611830723050832,4703,0.4159757254120059,7115,0.3718746092522528,9414,0.33848892947701864,11194,0.30410637389346395,12761,0.2684143422159837,14679,0.2459390693968165,16057,0.22003895413615404,17446,0.2001973744383283,18441,0.17649464979176396,19736,0.1625534027568769,20397,0.15425941979339286,21139,0.13128179801611511,22078,0.11615341136186386,22851,0.10921569681256198,23364,0.09554480719895783,24125,0.08743291253115179,24645,0.07891168044134342,25073,0.07402287411320037,25287
10,UNIFORM,0.5771196027435558,0,0.5015835949135601,2619,0.4605609455597962,4703,0.4147290559307861,7115,0.3718246760170546,9414,0.3392868551099933,11194,0.30747920174726395,12761,0.2727365695759484,14679,0.2491586042328047,16057,0.2181179059313436,17446,0.1984174842692368,18441,0.17477496732064374,19736,0.1667125539148878,20397,0.15313494253575788,21139,0.13492784052995513,22078,0.11894261410580093,22851,0.11344409063052698,23364,0.09701921551240353,24125,0.08649164202756968,24645,0.07974183532314613,25073,0.07169964468652612,25287
11,WEIGHT,0.5771196027435558,0,0.5011603587337095,2619,0.4601138798537006,4703,0.4101844675618023,7115,0.3717420427033472,9414,0.3341660277418793,11194,0.3102754636044331,12761,0.27062836760173026,14679,0.2422647964832099,16057,0.2194137503659576,17446,0.20093627318473384,18441,0.1805902348509435,19736,0.16309722471403698,20397,0.15059963284565298,21139,0.13540540979549795,22078,0.11929197916526132,22851,0.10850531848369048,23364,0.09700269706718967,24125,0.08475328240267553,24645,0.07593656783343322,25073,0.07331834953012865,25287
12,AWP,0.5771196027435558,0,0.5087596649608711,2324,0.4593602108423512,4791,0.4163786970677935,6983,0.3642601732238244,9603,0.3282057791034553,11560,0.3013314856616797,12848,0.2688563253392104,14489,0.2444940703833157,15818,0.21907699303675715,17189,0.19823967452766691,18325,0.18439875834931047,19111,0.16709592764603756,19961,0.14604083707173274,21070,0.1322849111063257,21787,0.11927131253318078,22474,0.10878477625230484,23061,0.09794837654137388,23664,0.0887620720738468,24100,0.07979531666617143,24587,0.0756916716500946,24814
13,EMPIRICAL,0.5771196027435558,0,0.5074410992253,2324,0.4583013648046118,4791,0.4209553727278907,6983,0.3655689491190021,9603,0.3325643650196238,11560,0.3039376531223835,12848,0.2738015482681379,14489,0.24608901526112545,15818,0.22395884181754985,17189,0.2066064755738759,18325,0.1894932871225712,19111,0.17207438333313144,19961,0.15410308595733324,21070,0.13587828270368366,21787,0.12588895911562936,22474,0.11744160795910415,23061,0.1047758076911492,23664,0.09631045314300753,24100,0.08425747771304562,24587,0.08319869578902117,24814
